task,forgetting_phase1,forgetting_phase2,delta
circle,49.05,28.45,-20.6
vertical,51.0,47.35,-3.65
xor_quadrant,48.75,10.7,-38.05
diagonal,50.65,21.65,-29.0
horizontal,0.0,0.0,0.0
