,after_t1,after_t2,after_t3,after_t4,after_t5
circle,77.4,49.6,64.75,50.9,48.95
vertical,,97.5,78.75,73.9,50.15
xor_quadrant,,,61.75,51.2,51.05
diagonal,,,,97.7,76.05
horizontal,,,,,99.75
