,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,94.55,57.3,52.65,73.85,71.8
vertical,,90.05,51.3,73.5,71.65
circle,,,77.05,54.15,61.4
diagonal,,,,98.3,75.55
xor_quadrant,,,,,69.0
