task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,22.75,-26.3
vertical,51.0,18.4,-32.6
circle,48.75,15.65,-33.1
diagonal,50.65,22.75,-27.9
xor_quadrant,0.0,0.0,0.0
