task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.68595,57.21,1.732
horizontal,1,2,0.62305,91.59,1.394
horizontal,1,3,0.52548,94.19,1.274
horizontal,1,4,0.37914,96.98,1.611
horizontal,1,5,0.21879,98.82,1.527
vertical,2,1,1.05082,51.71,1.435
vertical,2,2,0.78317,55.77,1.361
vertical,2,3,0.60511,63.85,1.452
vertical,2,4,0.46771,77.3,1.32
vertical,2,5,0.34247,87.7,1.293
circle,3,1,0.86274,49.06,1.803
circle,3,2,0.69684,54.81,1.451
circle,3,3,0.61449,68.93,1.797
circle,3,4,0.56745,75.95,1.72
circle,3,5,0.54064,76.32,1.548
diagonal,4,1,0.59701,67.84,1.55
diagonal,4,2,0.44009,86.65,1.416
diagonal,4,3,0.32887,92.89,1.34
diagonal,4,4,0.24058,94.85,1.32
diagonal,4,5,0.17321,96.85,1.293
xor_quadrant,5,1,1.08036,60.8,1.318
xor_quadrant,5,2,0.76477,67.35,1.432
xor_quadrant,5,3,0.64004,68.33,1.337
xor_quadrant,5,4,0.5969,69.37,1.345
xor_quadrant,5,5,0.57004,70.66,1.304
