task,initial_accuracy,best_accuracy,final_accuracy,forgetting
horizontal,98.85,98.85,74.65,24.2
vertical,91.6,91.6,72.8,18.8
circle,75.7,75.7,60.2,15.5
diagonal,97.45,97.45,76.55,20.9
xor_quadrant,70.55,70.55,70.55,0.0
