,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,98.85,57.25,50.15,73.95,74.65
vertical,,91.6,51.1,75.3,72.8
circle,,,75.7,52.8,60.2
diagonal,,,,97.45,76.55
xor_quadrant,,,,,70.55
