task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,18.45,-30.6
vertical,51.0,18.8,-32.2
circle,48.75,15.35,-33.4
diagonal,50.65,18.7,-31.95
xor_quadrant,0.0,0.0,0.0
