,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,92.8,56.15,50.6,75.15,74.35
vertical,,92.9,51.65,74.1,74.1
circle,,,75.85,51.5,60.5
diagonal,,,,98.5,79.8
xor_quadrant,,,,,69.3
