,after_t1,after_t2,after_t3,after_t4,after_t5
diagonal,98.95,74.05,77.65,75.55,50.1
vertical,,99.75,75.65,49.65,48.9
xor_quadrant,,,67.55,51.15,50.0
horizontal,,,,99.45,50.8
circle,,,,,77.4
