task,phase,epoch,train_loss,train_accuracy,epoch_seconds
diagonal,1,1,0.74772,50.06,1.488
diagonal,1,2,0.59547,74.63,1.236
diagonal,1,3,0.48235,96.9,1.185
diagonal,1,4,0.34546,97.82,1.205
diagonal,1,5,0.23356,98.94,1.202
vertical,2,1,0.39984,80.79,1.129
vertical,2,2,0.24428,89.85,1.141
vertical,2,3,0.15158,94.91,1.163
vertical,2,4,0.09414,97.91,1.16
vertical,2,5,0.06295,99.48,1.201
xor_quadrant,3,1,1.65814,49.8,1.268
xor_quadrant,3,2,1.11552,51.1,1.292
xor_quadrant,3,3,0.83784,53.15,1.449
xor_quadrant,3,4,0.70773,57.36,1.342
xor_quadrant,3,5,0.65438,64.66,1.276
horizontal,4,1,0.56693,72.24,1.323
horizontal,4,2,0.46362,82.26,1.278
horizontal,4,3,0.32194,92.66,1.231
horizontal,4,4,0.19198,98.38,1.248
horizontal,4,5,0.12058,99.18,1.261
circle,5,1,1.19683,50.44,1.408
circle,5,2,0.80212,51.89,1.362
circle,5,3,0.62351,55.44,1.319
circle,5,4,0.54624,70.15,1.523
circle,5,5,0.51523,75.66,1.252
