task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,24.45,-24.6
vertical,51.0,19.7,-31.3
circle,48.75,15.3,-33.45
diagonal,50.65,20.75,-29.9
xor_quadrant,0.0,0.0,0.0
