,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.4,56.65,50.15,74.9,74.95
vertical,,92.5,51.1,74.35,72.8
circle,,,75.7,52.25,60.4
diagonal,,,,97.8,77.05
xor_quadrant,,,,,70.35
