task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.67929,64.03,1.463
horizontal,1,2,0.60196,90.97,1.144
horizontal,1,3,0.47835,94.59,1.112
horizontal,1,4,0.30788,97.31,1.171
horizontal,1,5,0.1727,98.72,1.281
vertical,2,1,1.1353,51.87,1.274
vertical,2,2,0.82239,55.42,1.195
vertical,2,3,0.61243,63.86,1.214
vertical,2,4,0.45708,78.03,1.466
vertical,2,5,0.32072,88.94,1.817
circle,3,1,0.88586,48.6,1.691
circle,3,2,0.69673,55.92,1.497
circle,3,3,0.61427,70.74,1.538
circle,3,4,0.56709,76.3,1.537
circle,3,5,0.53938,76.32,1.275
diagonal,4,1,0.6085,66.15,1.299
diagonal,4,2,0.45034,82.37,1.253
diagonal,4,3,0.33741,89.09,1.268
diagonal,4,4,0.23258,95.43,1.255
diagonal,4,5,0.16246,97.5,1.254
xor_quadrant,5,1,1.12399,59.34,1.223
xor_quadrant,5,2,0.76594,66.8,1.208
xor_quadrant,5,3,0.64064,68.16,1.162
xor_quadrant,5,4,0.60005,69.09,1.309
xor_quadrant,5,5,0.57278,70.44,1.29
