task,phase,region,size,A,R,I,adapter_need
horizontal,1,3,1000,0.9380705952644348,0.9519750475883484,"[0.0005711914272978902, 0.9877179861068726, 0.002169018844142556, 0.009541871957480907]",0.8930197954177856
horizontal,1,4,1000,0.9378539323806763,0.95184326171875,"[0.000600690022110939, 0.9873372912406921, 0.0022653855849057436, 0.009796570055186749]",0.8926899433135986
horizontal,1,5,1000,0.9378683567047119,0.9518475532531738,"[0.0005991790094412863, 0.987359344959259, 0.0022598367650061846, 0.009781697764992714]",0.8927077054977417
horizontal,1,8,1000,0.9380705952644348,0.9519750475883484,"[0.0005711914272978902, 0.9877179861068726, 0.002169018844142556, 0.009541871957480907]",0.8930197954177856
horizontal,1,11,1000,0.9380705952644348,0.9519750475883484,"[0.0005711914272978902, 0.9877179861068726, 0.002169018844142556, 0.009541871957480907]",0.8930197954177856
horizontal,1,15,1000,0.9380705952644348,0.9519750475883484,"[0.0005711914272978902, 0.9877179861068726, 0.002169018844142556, 0.009541871957480907]",0.8930197954177856
horizontal,1,16,1000,0.9378539323806763,0.95184326171875,"[0.000600690022110939, 0.9873372912406921, 0.0022653855849057436, 0.009796570055186749]",0.8926899433135986
horizontal,1,23,1000,0.9380705952644348,0.9519750475883484,"[0.0005711914272978902, 0.9877179861068726, 0.002169018844142556, 0.009541871957480907]",0.8930197954177856
horizontal,1,28,1000,0.9380705952644348,0.9519750475883484,"[0.0005711914272978902, 0.9877179861068726, 0.002169018844142556, 0.009541871957480907]",0.8930197954177856
horizontal,1,31,1000,0.9380705952644348,0.9519750475883484,"[0.0005711914272978902, 0.9877179861068726, 0.002169018844142556, 0.009541871957480907]",0.8930197954177856
horizontal,1,35,1000,0.9380705952644348,0.9519750475883484,"[0.0005711914272978902, 0.9877179861068726, 0.002169018844142556, 0.009541871957480907]",0.8930197954177856
vertical,2,3,1000,0.947627067565918,0.9549371600151062,"[4.091853043064475e-05, 0.9949033260345459, 0.0002499853144399822, 0.00480578001588583]",0.9049242734909058
vertical,2,8,1000,0.947627067565918,0.9549371600151062,"[4.091853043064475e-05, 0.9949033260345459, 0.0002499853144399822, 0.00480578001588583]",0.9049242734909058
vertical,2,11,1000,0.947627067565918,0.9549371600151062,"[4.091853043064475e-05, 0.9949033260345459, 0.0002499853144399822, 0.00480578001588583]",0.9049242734909058
vertical,2,15,1000,0.947627067565918,0.9549371600151062,"[4.091853043064475e-05, 0.9949033260345459, 0.0002499853144399822, 0.00480578001588583]",0.9049242734909058
vertical,2,16,1000,0.9464005827903748,0.9548108577728271,"[0.00015474093379452825, 0.9919641017913818, 0.0008354724268428981, 0.007045602425932884]",0.9036335349082947
vertical,2,23,1000,0.947627067565918,0.9549371600151062,"[4.091853043064475e-05, 0.9949033260345459, 0.0002499853144399822, 0.00480578001588583]",0.9049242734909058
vertical,2,28,1000,0.947627067565918,0.9549371600151062,"[4.091853043064475e-05, 0.9949033260345459, 0.0002499853144399822, 0.00480578001588583]",0.9049242734909058
vertical,2,31,1000,0.947627067565918,0.9549371600151062,"[4.091853043064475e-05, 0.9949033260345459, 0.0002499853144399822, 0.00480578001588583]",0.9049242734909058
vertical,2,35,1000,0.947627067565918,0.9549371600151062,"[4.091853043064475e-05, 0.9949033260345459, 0.0002499853144399822, 0.00480578001588583]",0.9049242734909058
circle,3,3,1000,0.9464927315711975,0.95611971616745,"[3.942752300645225e-05, 0.9953873753547668, 0.00031120050698518753, 0.004262028262019157]",0.9049603343009949
circle,3,8,1000,0.9464927315711975,0.95611971616745,"[3.942752300645225e-05, 0.9953873753547668, 0.00031120050698518753, 0.004262028262019157]",0.9049603343009949
circle,3,11,1000,0.9464927315711975,0.95611971616745,"[3.942752300645225e-05, 0.9953873753547668, 0.00031120050698518753, 0.004262028262019157]",0.9049603343009949
circle,3,15,1000,0.9464927315711975,0.95611971616745,"[3.942752300645225e-05, 0.9953873753547668, 0.00031120050698518753, 0.004262028262019157]",0.9049603343009949
circle,3,16,1000,0.9443500638008118,0.955588161945343,"[0.0001262043515453115, 0.9931661486625671, 0.0007982113747857511, 0.0059093874879181385]",0.9024097323417664
circle,3,23,1000,0.9464927315711975,0.95611971616745,"[3.942752300645225e-05, 0.9953873753547668, 0.00031120050698518753, 0.004262028262019157]",0.9049603343009949
circle,3,28,1000,0.9464927315711975,0.95611971616745,"[3.942752300645225e-05, 0.9953873753547668, 0.00031120050698518753, 0.004262028262019157]",0.9049603343009949
