,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.25,49.25,49.85,75.4,49.4
vertical,,99.65,49.15,73.8,47.7
circle,,,99.35,48.4,49.3
diagonal,,,,98.45,47.25
xor_quadrant,,,,,98.1
