phase,batch,n_closed,mask_mean,mask_std,mask_min,mask_max,frac_lt_0.1,frac_gt_0.9
1,0,6249,0.4200402498245239,0.3166041076183319,0.0,0.6611139178276062,0.362281858921051,0.0
1,78,6249,0.6009126901626587,0.4529319107532501,0.0,0.942790150642395,0.362281858921051,0.637718141078949
1,0,6249,0.6010361909866333,0.4530250132083893,0.0,0.942977249622345,0.362281858921051,0.637718141078949
1,78,6249,0.6012753248214722,0.4532052278518677,0.0,0.9433680772781372,0.362281858921051,0.637718141078949
1,0,6249,0.6002900004386902,0.4524625539779663,0.0,0.9418182373046875,0.362281858921051,0.637718141078949
1,78,6249,0.6015313267707825,0.453398197889328,0.0,0.9437679052352905,0.362281858921051,0.637718141078949
1,0,6249,0.6010864973068237,0.45306289196014404,0.0,0.9430781006813049,0.362281858921051,0.637718141078949
1,78,6249,0.6013813614845276,0.4532850980758667,0.0,0.9435456395149231,0.362281858921051,0.637718141078949
1,0,6249,0.6005131602287292,0.45263078808784485,0.0,0.9421861171722412,0.362281858921051,0.637718141078949
1,78,6249,0.6012899279594421,0.4532162547111511,0.0,0.9433807730674744,0.362281858921051,0.637718141078949
2,0,8249,0.44378337264060974,0.42513319849967957,0.0,0.8605717420578003,0.47823062539100647,0.0
2,78,8249,0.49632778763771057,0.4751833975315094,0.0,0.9530398845672607,0.47823062539100647,0.5217694044113159
2,0,8249,0.4961451590061188,0.4750085473060608,0.0,0.9526902437210083,0.47823062539100647,0.5217694044113159
2,78,8249,0.495442271232605,0.47433555126190186,0.0,0.9512964487075806,0.47823062539100647,0.5217694044113159
2,0,8249,0.4963316023349762,0.4751870036125183,0.0,0.9530287981033325,0.47823062539100647,0.5217694044113159
2,78,8249,0.496217280626297,0.4750775694847107,0.0,0.9528056383132935,0.47823062539100647,0.5217694044113159
2,0,8249,0.4960595667362213,0.474926620721817,0.0,0.9525198340415955,0.47823062539100647,0.5217694044113159
2,78,8249,0.49628663063049316,0.4751439690589905,0.0,0.9529231190681458,0.47823062539100647,0.5217694044113159
2,0,8249,0.4959687888622284,0.4748397171497345,0.0,0.952343225479126,0.47823062539100647,0.5217694044113159
2,78,8249,0.49606838822364807,0.47493499517440796,0.0,0.952507734298706,0.47823062539100647,0.5217694044113159
3,0,8249,0.43273690342903137,0.41456180810928345,0.0,0.8392923474311829,0.47823062539100647,0.0
3,78,8249,0.4954921007156372,0.47438326478004456,0.0,0.9514275789260864,0.47823062539100647,0.5217694044113159
3,0,8249,0.49610406160354614,0.47496914863586426,0.0,0.9525880217552185,0.47823062539100647,0.5217694044113159
3,78,8249,0.4962202310562134,0.47508037090301514,0.0,0.9528234004974365,0.47823062539100647,0.5217694044113159
3,0,8249,0.4955325722694397,0.4744220972061157,0.0,0.9515259861946106,0.47823062539100647,0.5217694044113159
3,78,8249,0.49543023109436035,0.4743240177631378,0.0,0.9513137340545654,0.47823062539100647,0.5217694044113159
3,0,8249,0.49575695395469666,0.47463682293891907,0.0,0.951941967010498,0.47823062539100647,0.5217694044113159
3,78,8249,0.4959348440170288,0.4748072028160095,0.0,0.9523163437843323,0.47823062539100647,0.5217694044113159
3,0,8249,0.4954376816749573,0.47433122992515564,0.0,0.95135098695755,0.47823062539100647,0.5217694044113159
3,78,8249,0.4953509569168091,0.4742482006549835,0.0,0.9511736631393433,0.47823062539100647,0.5217694044113159
4,0,8249,0.43058672547340393,0.41225698590278625,0.0,0.8298446536064148,0.47823062539100647,0.0
4,78,8249,0.49555546045303345,0.4744437336921692,0.0,0.9514603614807129,0.47823062539100647,0.5217694044113159
4,0,8249,0.4958253800868988,0.4747021794319153,0.0,0.9519769549369812,0.47823062539100647,0.5217694044113159
4,78,8249,0.49588868021965027,0.47476279735565186,0.0,0.9521042108535767,0.47823062539100647,0.5217694044113159
4,0,8249,0.4958071708679199,0.4746847152709961,0.0,0.9519487619400024,0.47823062539100647,0.5217694044113159
4,78,8249,0.49530118703842163,0.4742002785205841,0.0,0.950968325138092,0.47823062539100647,0.5217694044113159
4,0,8249,0.4959620535373688,0.47483304142951965,0.0,0.9522438645362854,0.47823062539100647,0.5217694044113159
4,78,8249,0.4963672161102295,0.4752208888530731,0.0,0.9530425071716309,0.47823062539100647,0.5217694044113159
4,0,8249,0.49554792046546936,0.474436491727829,0.0,0.9514573216438293,0.47823062539100647,0.5217694044113159
4,78,8249,0.49589037895202637,0.4747644066810608,0.0,0.9521088004112244,0.47823062539100647,0.5217694044113159
5,0,8249,0.42284339666366577,0.4048556089401245,0.0,0.8155466914176941,0.47823062539100647,0.0
5,78,8249,0.495748907327652,0.47462886571884155,0.0,0.9517862200737,0.47823062539100647,0.5217694044113159
5,0,8249,0.49624478816986084,0.4751037359237671,0.0,0.9527431130409241,0.47823062539100647,0.5217694044113159
5,78,8249,0.49534687399864197,0.47424396872520447,0.0,0.9510168433189392,0.47823062539100647,0.5217694044113159
5,0,8249,0.4958270788192749,0.47470372915267944,0.0,0.9519357681274414,0.47823062539100647,0.5217694044113159
5,78,8249,0.49496182799339294,0.47387534379959106,0.0,0.9502683281898499,0.47823062539100647,0.5217694044113159
5,0,8249,0.4958958327770233,0.47476959228515625,0.0,0.9520652294158936,0.47823062539100647,0.5217694044113159
5,78,8249,0.49569958448410034,0.47458168864250183,0.0,0.9517000913619995,0.47823062539100647,0.5217694044113159
5,0,8249,0.49570441246032715,0.4745863080024719,0.0,0.9517049789428711,0.47823062539100647,0.5217694044113159
5,78,8249,0.4953020513057709,0.47420111298561096,0.0,0.9509280323982239,0.47823062539100647,0.5217694044113159
