task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,24.4,-24.65
vertical,51.0,15.6,-35.4
circle,48.75,17.3,-31.45
diagonal,50.65,20.9,-29.75
xor_quadrant,0.0,0.0,0.0
