,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,98.8,60.6,50.8,76.0,74.4
vertical,,89.2,48.9,73.9,73.6
circle,,,77.4,50.3,60.1
diagonal,,,,98.4,77.5
xor_quadrant,,,,,70.9
