step,gov_loss,loss_att,loss_ret,loss_int,loss_new,loss_new_before,loss_new_after,loss_old,loss_old_before,loss_old_after,sparse_cost,ewc_cost,delta_cost,delta_cost_live,phase_scale,allocated_weights,frac_active,mask_mean,mask_std,mask_min,mask_max,frac_lt_0.1,frac_gt_0.9
1,0.014411154203116894,0.13381589949131012,0.012438734993338585,0.14682994782924652,-0.03748118877410889,0.7281,0.6906,0.0,0.0,0.0,0.0008435107883997262,0.0,0.011836233548820019,0.2337656170129776,19.75,3673,0.444,0.0698,0.1341,0.0,0.3329,0.7871,0.0
50,0.09693636745214462,0.061061643064022064,0.03696856647729874,0.13115793466567993,-0.1314118504524231,0.7088,0.5773,0.05092787742614746,0.6631,0.714,0.03284621611237526,0.7483288049697876,0.027151357382535934,0.5362393260002136,19.75,5577,0.444,0.1559,0.2255,0.0,0.4927,0.6767,0.0
100,0.13134072721004486,0.033121030777692795,0.044187285006046295,0.19821321964263916,-0.048477232456207275,0.7134,0.6649,0.03503525257110596,0.595,0.6301,0.12971779704093933,1.2426704168319702,0.027308860793709755,0.5393499732017517,19.75,4609,0.444,0.1776,0.2941,0.0,0.6796,0.7328,0.0
150,0.3025319278240204,0.0015738122165203094,0.043928783386945724,0.2902732193470001,-0.24556028842926025,0.8134,0.5678,0.0,0.0,0.0,0.24050334095954895,0.0,0.03310934826731682,0.6539096236228943,19.75,4609,0.444,0.2142,0.3548,0.0,0.8044,0.7328,0.0
200,0.36600351333618164,-0.08168170601129532,0.13241443037986755,0.39761197566986084,-0.26128751039505005,0.6155,0.3543,0.11733534932136536,0.4532,0.5706,0.34467244148254395,1.5354008674621582,0.02660086750984192,0.5253671407699585,19.75,3641,0.444,0.1894,0.3662,0.0,0.9013,0.7889,0.0371
