task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.69973,51.41,1.606
horizontal,1,2,0.65104,75.53,1.691
horizontal,1,3,0.58911,81.08,1.732
horizontal,1,4,0.48559,86.47,1.56
horizontal,1,5,0.34026,91.9,1.355
vertical,2,1,0.74985,56.61,1.578
vertical,2,2,0.65595,59.17,1.347
vertical,2,3,0.57516,63.75,1.282
vertical,2,4,0.49123,72.36,1.275
vertical,2,5,0.40247,83.76,1.249
circle,3,1,0.81679,55.44,1.388
circle,3,2,0.67218,58.18,1.304
circle,3,3,0.61375,62.66,1.272
circle,3,4,0.57775,70.14,1.522
circle,3,5,0.55506,75.49,1.385
diagonal,4,1,0.54484,71.41,1.461
diagonal,4,2,0.4356,90.54,1.278
diagonal,4,3,0.35927,91.78,1.365
diagonal,4,4,0.29159,93.55,1.343
diagonal,4,5,0.23697,95.26,1.449
xor_quadrant,5,1,1.08032,60.7,1.374
xor_quadrant,5,2,0.89118,65.76,1.371
xor_quadrant,5,3,0.77313,65.96,1.352
xor_quadrant,5,4,0.70116,65.74,1.319
xor_quadrant,5,5,0.65985,66.87,1.299
