,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,94.0,60.05,50.6,76.2,72.2
vertical,,88.1,51.65,72.95,76.25
circle,,,75.85,53.55,59.25
diagonal,,,,96.45,83.35
xor_quadrant,,,,,65.75
