task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,21.8,-27.25
vertical,51.0,11.85,-39.15
circle,48.75,16.6,-32.15
diagonal,50.65,13.1,-37.55
xor_quadrant,0.0,0.0,0.0
