task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,50.35,1.3
xor_quadrant,51.0,5.4,-45.6
circle,48.75,26.05,-22.7
diagonal,50.65,23.45,-27.2
vertical,0.0,0.0,0.0
