,after_t1,after_t2,after_t3,after_t4,after_t5
vertical,98.2,79.75,73.6,50.45,49.4
xor_quadrant,,51.5,49.35,50.5,49.65
diagonal,,,97.25,49.5,74.45
circle,,,,75.5,50.05
horizontal,,,,,99.8
