task,initial_accuracy,best_accuracy,final_accuracy,forgetting
vertical,98.2,98.2,49.4,48.8
xor_quadrant,51.5,51.5,49.65,1.85
diagonal,97.25,97.25,74.45,22.8
circle,75.5,75.5,50.05,25.45
horizontal,99.8,99.8,99.8,0.0
