task,forgetting_phase1,forgetting_phase2,delta
vertical,49.05,48.8,-0.25
xor_quadrant,51.0,1.85,-49.15
diagonal,48.75,22.8,-25.95
circle,50.65,25.45,-25.2
horizontal,0.0,0.0,0.0
