task,phase,epoch,train_loss,train_accuracy,epoch_seconds
vertical,1,1,0.63466,84.78,1.419
vertical,1,2,0.56497,85.72,1.22
vertical,1,3,0.45664,89.45,1.188
vertical,1,4,0.31558,93.41,1.257
vertical,1,5,0.18647,96.87,1.251
xor_quadrant,2,1,1.17029,48.78,1.165
xor_quadrant,2,2,0.92031,48.43,1.174
xor_quadrant,2,3,0.77979,49.1,1.166
xor_quadrant,2,4,0.7093,49.48,1.199
xor_quadrant,2,5,0.67727,50.93,1.163
diagonal,3,1,0.5634,74.24,1.202
diagonal,3,2,0.4553,82.02,1.174
diagonal,3,3,0.3578,87.73,1.182
diagonal,3,4,0.27193,93.11,1.194
diagonal,3,5,0.204,95.95,1.205
circle,4,1,1.1516,54.33,1.172
circle,4,2,0.81033,56.82,1.173
circle,4,3,0.63625,57.67,1.194
circle,4,4,0.56034,69.16,1.187
circle,4,5,0.53014,76.56,1.224
horizontal,5,1,0.57025,68.28,1.236
horizontal,5,2,0.38002,88.2,1.187
horizontal,5,3,0.23693,95.82,1.176
horizontal,5,4,0.13403,98.69,1.182
horizontal,5,5,0.07575,99.7,1.208
