phase,batch,n_closed,mask_mean,mask_std,mask_min,mask_max,frac_lt_0.1,frac_gt_0.9
1,0,13576,0.14472460746765137,0.2782526910305023,0.0,0.6920428276062012,0.7870601415634155,0.0
1,78,13576,0.19055823981761932,0.36636653542518616,0.0,0.896193265914917,0.7870601415634155,0.0
1,0,13576,0.1904931217432022,0.36624133586883545,0.0,0.8958948850631714,0.7870601415634155,0.0
1,78,13576,0.19050709903240204,0.36626821756362915,0.0,0.8960320949554443,0.7870601415634155,0.0
1,0,13576,0.1903710663318634,0.36600664258003235,0.0,0.8953900933265686,0.7870601415634155,0.0
1,78,13576,0.19040930271148682,0.3660801947116852,0.0,0.895540714263916,0.7870601415634155,0.0
1,0,13576,0.19045515358448029,0.366168349981308,0.0,0.8957417011260986,0.7870601415634155,0.0
1,78,13576,0.19045545160770416,0.36616891622543335,0.0,0.8957491517066956,0.7870601415634155,0.0
1,0,13576,0.19048957526683807,0.36623451113700867,0.0,0.8958965539932251,0.7870601415634155,0.0
1,78,13576,0.19034744799137115,0.36596131324768066,0.0,0.8952295184135437,0.7870601415634155,0.0
2,0,17185,0.003038157010450959,0.0497860461473465,0.0,0.8198957443237305,0.9962896704673767,0.0
2,78,17185,0.0033480627462267876,0.054864440113306046,0.0,0.9029489159584045,0.9962896704673767,0.0037103600334376097
2,0,17185,0.003348476951941848,0.05487122759222984,0.0,0.9030008316040039,0.9962896704673767,0.0037103600334376097
2,78,17185,0.0033483633305877447,0.05486936494708061,0.0,0.9029637575149536,0.9962896704673767,0.0037103600334376097
2,0,17185,0.0033484147861599922,0.05487021058797836,0.0,0.9029923677444458,0.9962896704673767,0.0037103600334376097
2,78,17185,0.0033493053633719683,0.05488480255007744,0.0,0.9032495021820068,0.9962896704673767,0.0037103600334376097
2,0,17185,0.003348624799400568,0.05487365275621414,0.0,0.9030695557594299,0.9962896704673767,0.0037103600334376097
2,78,17185,0.003348002443090081,0.05486346036195755,0.0,0.902898907661438,0.9962896704673767,0.0037103600334376097
2,0,17185,0.003346951212733984,0.054846227169036865,0.0,0.9026187062263489,0.9962896704673767,0.0037103600334376097
2,78,17185,0.0033480427227914333,0.05486411601305008,0.0,0.902915894985199,0.9962896704673767,0.0037103600334376097
3,0,17185,0.0030456657987087965,0.04990909621119499,0.0,0.8218565583229065,0.9962896704673767,0.0
3,78,17185,0.0033439164981245995,0.0547964945435524,0.0,0.9017935395240784,0.9962896704673767,0.0037103600334376097
3,0,17185,0.003347837133333087,0.05486074462532997,0.0,0.9028032422065735,0.9962896704673767,0.0037103600334376097
3,78,17185,0.003346112323924899,0.05483248084783554,0.0,0.9023346900939941,0.9962896704673767,0.0037103600334376097
3,0,17185,0.0033469463232904673,0.0548461452126503,0.0,0.9025369882583618,0.9962896704673767,0.0037103600334376097
3,78,17185,0.003345866221934557,0.054828446358442307,0.0,0.902276873588562,0.9962896704673767,0.0037103600334376097
3,0,17185,0.003347591497004032,0.05485672131180763,0.0,0.9027230143547058,0.9962896704673767,0.0037103600334376097
3,78,17185,0.003347711870446801,0.05485869199037552,0.0,0.902744472026825,0.9962896704673767,0.0037103600334376097
3,0,17185,0.0033450149931013584,0.05481449514627457,0.0,0.9020220041275024,0.9962896704673767,0.0037103600334376097
3,78,17185,0.003346272511407733,0.054835107177495956,0.0,0.9023606777191162,0.9962896704673767,0.0037103600334376097
4,0,13576,0.17333343625068665,0.3333042860031128,0.0,0.8204817771911621,0.7870601415634155,0.0
4,78,13576,0.19259272515773773,0.37027838826179504,0.0,0.9052832126617432,0.7870601415634155,0.21293988823890686
4,0,13576,0.19261109828948975,0.3703136742115021,0.0,0.9053571224212646,0.7870601415634155,0.21293988823890686
