task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.46268,87.57,3.951
horizontal,1,2,0.08451,98.36,2.991
horizontal,1,3,0.03466,99.2,2.81
horizontal,1,4,0.02284,99.4,2.939
horizontal,1,5,0.01669,99.43,3.091
vertical,2,1,2.7145,51.05,1.062
vertical,2,2,2.5135,52.43,1.088
vertical,2,3,2.13019,54.15,1.022
vertical,2,4,1.6442,56.05,1.235
vertical,2,5,1.21882,57.67,1.057
circle,3,1,1.43124,50.38,1.042
circle,3,2,0.78592,59.68,1.04
circle,3,3,0.63478,65.55,1.105
circle,3,4,0.58967,67.62,1.103
circle,3,5,0.56927,68.96,1.111
diagonal,4,1,0.08876,96.06,2.821
diagonal,4,2,0.03474,98.72,2.767
diagonal,4,3,0.01789,99.36,2.76
diagonal,4,4,0.02088,99.08,2.814
diagonal,4,5,0.01553,99.32,3.023
xor_quadrant,5,1,4.17903,61.02,1.449
xor_quadrant,5,2,3.64757,65.94,1.65
xor_quadrant,5,3,3.56128,65.92,1.271
xor_quadrant,5,4,3.47084,65.82,1.096
xor_quadrant,5,5,3.38199,65.75,1.079
