,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.2,88.3,57.35,75.15,69.0
vertical,,57.7,55.25,74.05,68.5
circle,,,68.65,49.25,54.5
diagonal,,,,99.8,71.05
xor_quadrant,,,,,66.1
