task,phase,epoch,train_loss,train_accuracy,epoch_seconds
xor_quadrant,1,1,0.70621,50.07,1.57
xor_quadrant,1,2,0.68817,53.58,1.37
xor_quadrant,1,3,0.67977,60.58,1.339
xor_quadrant,1,4,0.66886,64.22,2.286
xor_quadrant,1,5,0.65198,67.19,2.134
diagonal,2,1,0.66095,65.68,2.108
diagonal,2,2,0.58387,85.44,1.491
diagonal,2,3,0.50271,89.8,1.661
diagonal,2,4,0.4188,92.52,1.447
diagonal,2,5,0.33672,94.77,1.464
vertical,3,1,0.45013,77.1,1.578
vertical,3,2,0.35212,85.78,1.663
vertical,3,3,0.26632,91.83,1.588
vertical,3,4,0.19381,95.13,1.991
vertical,3,5,0.14123,97.18,2.164
circle,4,1,1.24818,50.1,2.038
circle,4,2,1.04699,50.59,1.731
circle,4,3,0.86996,51.78,1.85
circle,4,4,0.72756,56.81,2.073
circle,4,5,0.62188,60.69,2.343
horizontal,5,1,0.69216,71.09,2.007
horizontal,5,2,0.54766,77.38,1.768
horizontal,5,3,0.45229,87.21,1.671
horizontal,5,4,0.37425,93.64,1.862
horizontal,5,5,0.30867,95.86,1.658
