task,forgetting_phase1,forgetting_phase2,delta
xor_quadrant,49.05,17.4,-31.65
diagonal,51.0,20.7,-30.3
vertical,48.75,49.0,0.25
circle,50.65,8.75,-41.9
horizontal,0.0,0.0,0.0
