,after_t1,after_t2,after_t3,after_t4,after_t5
xor_quadrant,69.3,51.7,49.0,63.95,51.9
diagonal,,95.85,75.65,63.1,75.15
vertical,,,98.4,63.15,49.4
circle,,,,61.75,53.0
horizontal,,,,,96.7
