task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.2224,92.34,0.564
horizontal,1,2,0.03346,99.01,0.353
horizontal,1,3,0.04597,98.56,0.36
horizontal,1,4,0.01663,99.4,0.352
horizontal,1,5,0.02756,98.91,0.347
vertical,2,1,0.49523,85.11,0.351
vertical,2,2,0.03613,98.85,0.361
vertical,2,3,0.02153,99.17,0.361
vertical,2,4,0.0169,99.43,0.337
vertical,2,5,0.01919,99.33,0.343
circle,3,1,0.69043,75.42,0.342
circle,3,2,0.20773,92.04,0.34
circle,3,3,0.07955,97.35,0.342
circle,3,4,0.0625,97.75,0.359
circle,3,5,0.04289,98.4,0.345
diagonal,4,1,0.28172,92.53,0.388
diagonal,4,2,0.05687,97.78,0.402
diagonal,4,3,0.05471,97.67,0.421
diagonal,4,4,0.04312,98.23,0.369
diagonal,4,5,0.03176,98.73,0.386
xor_quadrant,5,1,0.7611,71.86,0.397
xor_quadrant,5,2,0.09779,97.68,0.407
xor_quadrant,5,3,0.06667,97.64,0.394
xor_quadrant,5,4,0.04429,98.49,0.353
xor_quadrant,5,5,0.05925,97.99,0.354
