,after_t1,after_t2,after_t3,after_t4,after_t5
circle,98.5,48.9,49.45,50.55,49.6
vertical,,99.6,74.35,48.75,48.7
diagonal,,,99.3,74.6,47.75
horizontal,,,,99.35,49.6
xor_quadrant,,,,,98.6
