,after_t1,after_t2,after_t3,after_t4,after_t5
diagonal,98.5,74.15,51.4,76.25,48.9
vertical,,98.65,50.3,50.35,50.3
xor_quadrant,,,98.9,51.45,50.9
horizontal,,,,99.45,47.1
circle,,,,,98.2
