,after_t1,after_t2,after_t3,after_t4,after_t5
xor_quadrant,63.0,49.05,53.7,51.05,50.0
vertical,,98.95,64.1,74.75,48.9
horizontal,,,85.7,75.25,50.8
diagonal,,,,98.15,50.1
circle,,,,,77.4
