task,forgetting_phase1,forgetting_phase2,delta
xor_quadrant,49.05,13.0,-36.05
vertical,51.0,50.05,-0.95
horizontal,48.75,34.9,-13.85
diagonal,50.65,48.05,-2.6
circle,0.0,0.0,0.0
