task,initial_accuracy,best_accuracy,final_accuracy,forgetting
horizontal,97.0,97.0,71.1,25.9
vertical,83.95,83.95,76.7,7.25
circle,75.5,75.5,57.75,17.75
diagonal,96.1,96.1,78.65,17.45
xor_quadrant,67.85,67.85,67.85,0.0
