,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,97.0,65.35,50.85,77.85,71.1
vertical,,83.95,50.45,71.55,76.7
circle,,,75.5,51.7,57.75
diagonal,,,,96.1,78.65
xor_quadrant,,,,,67.85
