task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,25.9,-23.15
vertical,51.0,7.25,-43.75
circle,48.75,17.75,-31.0
diagonal,50.65,17.45,-33.2
xor_quadrant,0.0,0.0,0.0
