task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.68724,54.56,1.653
horizontal,1,2,0.61384,83.53,1.225
horizontal,1,3,0.51165,87.01,1.225
horizontal,1,4,0.36857,90.92,1.226
horizontal,1,5,0.22461,95.12,1.235
vertical,2,1,0.95162,54.23,1.177
vertical,2,2,0.76694,56.62,1.232
vertical,2,3,0.63044,60.96,1.234
vertical,2,4,0.5098,70.73,1.201
vertical,2,5,0.38354,84.32,1.147
circle,3,1,0.8497,51.94,1.244
circle,3,2,0.67421,57.59,1.203
circle,3,3,0.6016,70.49,1.202
circle,3,4,0.56373,75.86,1.268
circle,3,5,0.5434,75.86,1.26
diagonal,4,1,0.58431,69.79,1.474
diagonal,4,2,0.41582,89.84,1.322
diagonal,4,3,0.31102,92.18,1.243
diagonal,4,4,0.23359,95.21,1.288
diagonal,4,5,0.17891,97.74,1.275
xor_quadrant,5,1,1.18771,58.02,1.315
xor_quadrant,5,2,0.85512,65.16,1.287
xor_quadrant,5,3,0.70063,66.51,1.272
xor_quadrant,5,4,0.63864,67.25,1.294
xor_quadrant,5,5,0.60763,68.31,1.318
