,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,96.2,57.8,52.65,74.05,71.75
vertical,,89.55,51.3,73.3,71.7
circle,,,77.05,53.95,61.35
diagonal,,,,98.4,75.6
xor_quadrant,,,,,68.95
