task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,24.45,-24.6
vertical,51.0,17.85,-33.15
circle,48.75,15.7,-33.05
diagonal,50.65,22.8,-27.85
xor_quadrant,0.0,0.0,0.0
