task,forgetting_phase1,forgetting_phase2,delta
circle,49.05,17.95,-31.1
vertical,51.0,26.8,-24.2
diagonal,48.75,14.15,-34.6
horizontal,50.65,18.55,-32.1
xor_quadrant,0.0,0.0,0.0
