,after_t1,after_t2,after_t3,after_t4,after_t5
circle,75.5,51.35,50.5,49.9,57.55
vertical,,95.3,74.85,50.45,68.5
diagonal,,,98.8,75.5,84.65
horizontal,,,,99.05,80.5
xor_quadrant,,,,,63.05
