hmem,avg_forgetting_m,avg_forgetting_s,overwritten_m,overwritten_s,final_acc_m,final_acc_s
none,16.479000000000003,1.0819473184956845,20.598750000000003,1.3524341481196056,70.16499999999999,0.8780439118353421
grad,14.004,1.7017781550157733,17.505000000000003,2.127222693769717,70.84200000000001,1.0287403300477056
random,15.935999999999998,1.4960852619791136,19.92,1.8701065774738923,70.50699999999999,1.1691977306398316
shuffled,16.106,1.3811364080994253,20.1325,1.7264205101242818,70.30999999999999,1.1106854740304402
magnitude,12.678000000000003,1.2138167535139355,15.847500000000002,1.5172709418924195,71.511,0.77110959013619
