task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,17.95,-31.1
vertical,51.0,12.35,-38.65
circle,48.75,17.95,-30.8
diagonal,50.65,14.5,-36.15
xor_quadrant,0.0,0.0,0.0
