,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,94.15,64.45,46.95,76.1,76.2
vertical,,86.65,48.45,75.0,74.3
circle,,,75.85,50.9,57.9
diagonal,,,,97.95,83.45
xor_quadrant,,,,,68.75
