task,initial_accuracy,best_accuracy,final_accuracy,forgetting
horizontal,99.3,99.3,72.3,27.0
vertical,91.7,91.7,71.2,20.5
circle,74.9,74.9,56.7,18.2
diagonal,98.9,98.9,73.65,25.25
xor_quadrant,69.5,69.5,69.5,0.0
