,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.3,57.5,51.1,75.15,72.3
vertical,,91.7,50.0,74.05,71.2
circle,,,74.9,49.85,56.7
diagonal,,,,98.9,73.65
xor_quadrant,,,,,69.5
