task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,27.0,-22.05
vertical,51.0,20.5,-30.5
circle,48.75,18.2,-30.55
diagonal,50.65,25.25,-25.4
xor_quadrant,0.0,0.0,0.0
