,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.4,62.1,51.1,75.65,73.25
vertical,,87.1,50.0,73.55,71.25
circle,,,74.9,51.25,56.45
diagonal,,,,97.8,74.9
xor_quadrant,,,,,69.25
