task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,26.15,-22.9
vertical,51.0,15.85,-35.15
circle,48.75,18.45,-30.3
diagonal,50.65,22.9,-27.75
xor_quadrant,0.0,0.0,0.0
