,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,89.05,59.85,47.6,74.85,75.05
vertical,,91.25,49.1,76.15,75.45
circle,,,75.2,51.45,58.45
diagonal,,,,97.0,82.8
xor_quadrant,,,,,69.4
