task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,14.0,-35.05
vertical,51.0,15.8,-35.2
circle,48.75,16.75,-32.0
diagonal,50.65,14.2,-36.45
xor_quadrant,0.0,0.0,0.0
