task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.70753,50.2,1.728
horizontal,1,2,0.67853,63.97,1.394
horizontal,1,3,0.6406,76.22,1.348
horizontal,1,4,0.58534,81.94,1.532
horizontal,1,5,0.50532,86.63,1.65
vertical,2,1,0.60203,63.28,1.629
vertical,2,2,0.54927,69.41,1.645
vertical,2,3,0.48886,76.49,1.667
vertical,2,4,0.41827,83.54,1.671
vertical,2,5,0.34263,89.12,1.568
circle,3,1,0.88652,50.87,1.561
circle,3,2,0.7523,53.41,1.595
circle,3,3,0.66835,59.32,1.621
circle,3,4,0.61624,67.78,1.533
circle,3,5,0.58324,73.42,1.555
diagonal,4,1,0.60203,60.58,1.476
diagonal,4,2,0.4804,86.57,1.452
diagonal,4,3,0.40821,91.74,1.488
diagonal,4,4,0.33835,94.09,1.458
diagonal,4,5,0.27725,95.91,1.476
xor_quadrant,5,1,0.9155,60.33,1.429
xor_quadrant,5,2,0.79707,67.6,1.485
xor_quadrant,5,3,0.72743,68.31,1.511
xor_quadrant,5,4,0.67587,68.56,1.431
xor_quadrant,5,5,0.64072,68.55,1.39
