task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.64434,74.65,1.231
horizontal,1,2,0.3518,96.33,0.793
horizontal,1,3,0.1087,98.73,0.785
horizontal,1,4,0.05285,99.25,0.811
horizontal,1,5,0.0324,99.49,0.83
vertical,2,1,0.92973,66.93,0.888
vertical,2,2,0.25422,92.76,0.852
vertical,2,3,0.12663,98.16,0.88
vertical,2,4,0.06162,99.5,0.913
vertical,2,5,0.03657,99.46,0.881
circle,3,1,0.97267,61.27,0.905
circle,3,2,0.52204,75.67,0.883
circle,3,3,0.50572,75.67,0.835
circle,3,4,0.49088,75.67,0.876
circle,3,5,0.45211,75.67,0.86
diagonal,4,1,0.43367,79.44,0.825
diagonal,4,2,0.21641,91.58,0.822
diagonal,4,3,0.09829,98.61,0.818
diagonal,4,4,0.06324,99.03,0.833
diagonal,4,5,0.04697,99.04,0.799
xor_quadrant,5,1,1.11657,66.77,0.814
xor_quadrant,5,2,0.58856,69.96,0.821
xor_quadrant,5,3,0.52086,70.99,0.787
xor_quadrant,5,4,0.40495,81.64,0.844
xor_quadrant,5,5,0.22585,96.02,0.817
