phase,batch,mask_mean,mask_std,mask_min,mask_max,frac_lt_0.1,frac_gt_0.9
1,0,0.08914878219366074,0.04070329666137695,0.03252468258142471,0.5119890570640564,0.7842193841934204,0.0
1,78,0.0869947150349617,0.04186618700623512,0.0007069527055136859,0.4668048322200775,0.7899588346481323,0.0
1,0,0.08733848482370377,0.04194468632340431,0.0007092264713719487,0.460225373506546,0.7885674834251404,0.0
1,78,0.08120405673980713,0.03949558734893799,0.0005662314360961318,0.4467984139919281,0.828801691532135,0.0
1,0,0.08856740593910217,0.042195238173007965,0.0006378398393280804,0.45899760723114014,0.7828859686851501,0.0
1,78,0.08850264549255371,0.04206324368715286,0.0006130107794888318,0.4587821662425995,0.7799292802810669,0.0
1,0,0.0880979523062706,0.04167255759239197,0.0006058438448235393,0.4643515944480896,0.7846251726150513,0.0
1,78,0.08632049709558487,0.04121300205588341,0.0005940868286415935,0.4594048857688904,0.7935532331466675,0.0
1,0,0.0863838717341423,0.041212718933820724,0.0005716315936297178,0.4621798098087311,0.7937271595001221,0.0
1,78,0.08759722858667374,0.042333461344242096,0.000580033112782985,0.46135199069976807,0.7786538600921631,0.0
2,0,0.08439339697360992,0.04157453402876854,0.028644520789384842,0.5379253625869751,0.8194098472595215,0.0
2,78,0.08425454050302505,0.03987908363342285,0.005828886292874813,0.4791378676891327,0.8184822201728821,0.0
2,0,0.08457156270742416,0.03967130556702614,0.0065306429751217365,0.4745745360851288,0.8169748783111572,0.0
2,78,0.09863436967134476,0.043932896107435226,0.0064551569521427155,0.45339906215667725,0.6746478080749512,0.0
2,0,0.08444907516241074,0.03937572240829468,0.005192426033318043,0.42554423213005066,0.8139022588729858,0.0
2,78,0.09163875132799149,0.04250491037964821,0.005368823651224375,0.46676430106163025,0.7547104358673096,0.0
2,0,0.08968161791563034,0.04154954478144646,0.00478540500625968,0.43261587619781494,0.7668270468711853,0.0
2,78,0.07860065251588821,0.037251271307468414,0.0043999748304486275,0.433993399143219,0.8497304320335388,0.0
2,0,0.08863070607185364,0.04068577662110329,0.005079316440969706,0.45802295207977295,0.7785958647727966,0.0
2,78,0.0918058305978775,0.04327112436294556,0.004641048610210419,0.4935457706451416,0.7431735396385193,0.0
3,0,0.08527036011219025,0.040996842086315155,0.03108273260295391,0.5226383805274963,0.8093222975730896,0.0
3,78,0.08254549652338028,0.04014459624886513,0.0071447305381298065,0.5270645618438721,0.826076865196228,0.0
3,0,0.08567500114440918,0.04053318500518799,0.0068523818626999855,0.5076552033424377,0.801321804523468,0.0
3,78,0.0877426490187645,0.041683778166770935,0.00702293636277318,0.5182828307151794,0.7830018997192383,0.0
3,0,0.0816539078950882,0.0391264483332634,0.006522153504192829,0.5155200958251953,0.8290915489196777,0.0
3,78,0.07340963184833527,0.03659995272755623,0.005812840070575476,0.5145808458328247,0.874833345413208,0.0
3,0,0.08785301446914673,0.0416075699031353,0.00783150177448988,0.5163425803184509,0.7828859686851501,0.0
3,78,0.07848775386810303,0.03795924782752991,0.006254101637750864,0.5136339664459229,0.851701557636261,0.0
3,0,0.08856938779354095,0.041589125990867615,0.007891898043453693,0.5160390138626099,0.7788857221603394,0.0
3,78,0.07840406149625778,0.03776273503899574,0.0062467120587825775,0.5171811580657959,0.8574410080909729,0.0
4,0,0.0898280218243599,0.04096118360757828,0.03343883901834488,0.521726131439209,0.7748275399208069,0.0
4,78,0.09474757313728333,0.04248045012354851,0.008389675058424473,0.5192666053771973,0.7392892241477966,0.0
4,0,0.09257996082305908,0.04316962510347366,0.009002981707453728,0.5301280617713928,0.7576091289520264,0.0
4,78,0.0873066633939743,0.0412268228828907,0.00890557374805212,0.5234042406082153,0.804046630859375,0.0
4,0,0.08816017955541611,0.040684398263692856,0.008082181215286255,0.5141804218292236,0.7958722114562988,0.0
4,78,0.0760786309838295,0.037454716861248016,0.00757604418322444,0.5186692476272583,0.8758768439292908,0.0
4,0,0.09146831929683685,0.04163532331585884,0.010671563446521759,0.5125868916511536,0.7590584754943848,0.0
4,78,0.08187268674373627,0.03852853178977966,0.008892393670976162,0.5035631060600281,0.8276422023773193,0.0
4,0,0.0897228792309761,0.042236700654029846,0.009795653633773327,0.5224551558494568,0.7736680507659912,0.0
4,78,0.10745741426944733,0.04771312326192856,0.012217976152896881,0.5238078832626343,0.5709896087646484,0.0
5,0,0.08738517761230469,0.043900445103645325,0.03178277984261513,0.5382003784179688,0.7751173973083496,0.0
5,78,0.09310644119977951,0.043576840311288834,0.006144535727798939,0.5142989754676819,0.7376659512519836,0.0
5,0,0.08806414157152176,0.042087335139513016,0.006418805569410324,0.5380038619041443,0.7887993454933167,0.0
5,78,0.0888633131980896,0.04278700426220894,0.006773592904210091,0.5418922305107117,0.7848570942878723,0.0
5,0,0.08476904034614563,0.04098225012421608,0.006503666285425425,0.5335610508918762,0.8057278990745544,0.0
5,78,0.09615903347730637,0.0459461510181427,0.008190430700778961,0.5381404757499695,0.7077511548995972,0.0
5,0,0.08796994388103485,0.042849864810705185,0.006833142600953579,0.5399506688117981,0.7850890159606934,0.0
5,78,0.09142351150512695,0.04406891390681267,0.0063298423774540424,0.5386548638343811,0.7511739730834961,0.0
5,0,0.08802559971809387,0.043257974088191986,0.006412139628082514,0.5383398532867432,0.7804510593414307,0.0
5,78,0.08402186632156372,0.04270217567682266,0.004360288381576538,0.5393854379653931,0.8074091076850891,0.0
