task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,48.25,-0.8
vertical,51.0,49.9,-1.1
circle,48.75,28.9,-19.85
diagonal,50.65,49.0,-1.65
xor_quadrant,0.0,0.0,0.0
