,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.75,50.8,50.3,76.1,51.5
vertical,,99.65,49.15,74.75,49.75
circle,,,77.15,50.45,48.25
diagonal,,,,99.25,50.25
xor_quadrant,,,,,97.65
