step,gov_loss,loss_new,loss_old,sparse_cost,ewc_cost,delta_cost,mask_mean,mask_std,mask_min,mask_max,frac_lt_0.1,frac_gt_0.9
1,1.0923136472702026,0.7885860204696655,0.5347631573677063,0.0002873443008866161,1.2491778135299683,0.07429210096597672,0.4831,0.0045,0.4696,0.5013,0.0,0.0
50,1.1584205627441406,0.26058337092399597,0.2599807381629944,0.003322780365124345,0.6942152976989746,0.060915637761354446,0.4423,0.0089,0.3916,0.4709,0.0,0.0
100,1.2981688976287842,0.6627175807952881,0.6818931102752686,0.0027303083334118128,1.0630745887756348,0.009991434402763844,0.4485,0.0426,0.2745,0.5298,0.0,0.0
150,1.1311719417572021,0.7674933671951294,0.6455892324447632,0.0041885594837367535,0.7138549089431763,0.019777266308665276,0.4359,0.1384,0.0653,0.6413,0.0096,0.0
200,1.168262243270874,1.0978484153747559,0.19871485233306885,0.0013870727270841599,0.8662499189376831,0.01750737987458706,0.4645,0.2399,0.0091,0.8302,0.0931,0.0
