,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.15,51.95,75.4,50.2,47.9
xor_quadrant,,98.75,47.9,49.0,49.9
diagonal,,,97.4,74.3,48.6
vertical,,,,99.3,50.3
circle,,,,,98.2
